ProtocolType,ProtocolName,EventType,EventName,FormName,Date,Ancestry,SiteID,SiteType,SiteStatus,Slope,Aspect,Elevation,SpeciesSymbol,FieldSymbol,SpeciesName,SpeciesName1,CommonName,SpeciesQualifier,FieldQualifier,Transect,SampleNumber,Element,SubElement,cParameter,cParameter2,cParameter3,cValue,cValueCommon,cValue2,cValue2Common,cValue3,cValue3Common,nValue,nValue2,nValue3,DDLat,DDLong
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,BOER4,BOER4,Bouteloua eriopoda,Bouteloua eriopoda,black grama,,,0,1,0,,,,,,,,,,,1,2,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,ARIST,ARIST,Aristida,Aristida,threeawn,,,0,1,0,,,,,,,,,,,6,1,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,ASTRA,ASTRA,Astragalus,Astragalus,milkvetch,,,0,1,0,,,,,,,,,,,3,2,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,RHTR,RHTR,Rhus trilobata,Rhus trilobata,skunkbush sumac,,,0,1,0,,,,,,,,,,,2,2,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,PINGU,PINGU,Pinguicula,Pinguicula,butterwort,,,0,1,0,,,,,,,,,,,2,3,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,RHTR,RHTR,Rhus trilobata,Rhus trilobata,skunkbush sumac,,,0,1,0,,,,,,,,,,,1,3,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,HECO26,HECO26,Hesperostipa comata,Hesperostipa comata,needle and thread,,,0,1,0,,,,,,,,,,,3,1,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,GUSA2,GUSA2,Gutierrezia sarothrae,Gutierrezia sarothrae,broom snakeweed,,,0,1,0,,,,,,,,,,,3,3,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,JUMO,JUMO,Juniperus monosperma,Juniperus monosperma,oneseed juniper,,,0,1,0,,,,,,,,,,,12,1,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,ARIST,ARIST,Aristida,Aristida,threeawn,,,0,1,0,,,,,,,,,,,4,2,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,ERWR,ERWR,Eriogonum wrightii,Eriogonum wrightii,bastardsage,,,0,1,0,,,,,,,,,,,1,3,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,ERPI5,ERPI5,Erioneuron pilosum,Erioneuron pilosum,hairy woollygrass,,,0,1,0,,,,,,,,,,,1,3,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,ASTRA,ASTRA,Astragalus,Astragalus,milkvetch,,,0,1,0,,,,,,,,,,,3,3,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,RHTR,RHTR,Rhus trilobata,Rhus trilobata,skunkbush sumac,,,0,1,0,,,,,,,,,,,2,1,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,BOCU,BOCU,Bouteloua curtipendula,Bouteloua curtipendula,sideoats grama,,,0,1,0,,,,,,,,,,,20,3,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,ERPI5,ERPI5,Erioneuron pilosum,Erioneuron pilosum,hairy woollygrass,,,0,1,0,,,,,,,,,,,3,2,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,,,0,1,0,,,,,,,,,,,20,1,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,GUSA2,GUSA2,Gutierrezia sarothrae,Gutierrezia sarothrae,broom snakeweed,,,0,1,0,,,,,,,,,,,1,1,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,BOER4,BOER4,Bouteloua eriopoda,Bouteloua eriopoda,black grama,,,0,1,0,,,,,,,,,,,7,3,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,EVOLV,EVOLV,Evolvulus,Evolvulus,dwarf morning-glory,,,0,1,0,,,,,,,,,,,1,1,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,BOCU,BOCU,Bouteloua curtipendula,Bouteloua curtipendula,sideoats grama,,,0,1,0,,,,,,,,,,,44,1,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,EVOLV,EVOLV,Evolvulus,Evolvulus,dwarf morning-glory,,,0,1,0,,,,,,,,,,,23,3,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,BOER4,BOER4,Bouteloua eriopoda,Bouteloua eriopoda,black grama,,,0,1,0,,,,,,,,,,,8,1,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,ERIOG,ERIOG,Eriogonum,Eriogonum,buckwheat,,,0,1,0,,,,,,,,,,,8,3,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,GAURA,GAURA,Gaura,Gaura,beeblossom,,,0,1,0,,,,,,,,,,,1,2,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,EVOLV,EVOLV,Evolvulus,Evolvulus,dwarf morning-glory,,,0,1,0,,,,,,,,,,,8,2,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,,,0,1,0,,,,,,,,,,,18,3,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,GUSA2,GUSA2,Gutierrezia sarothrae,Gutierrezia sarothrae,broom snakeweed,,,0,1,0,,,,,,,,,,,3,2,,,
UA Extension Standard Office,UA Extension Standard Office,DWR (by tally),DWR (by tally),Extension Standard Office,9/20/1999,USFS > Region 03 > Prescott National Forest > Chino Valley Ranger District > Yavapai Allotment > Unknown Pasture > Y_01 through Y_05,03-09-01-00115-XXX-Y02,Key Area,Active,,,,JUMO,JUMO,Juniperus monosperma,Juniperus monosperma,oneseed juniper,,,0,1,0,,,,,,,,,,,5,2,,,
